NAMESPACE            LAST SEEN   TYPE      REASON                           OBJECT                                                                                   MESSAGE
kube-system          32m         Normal    Pulled                           pod/gke-metrics-agent-8fjlf                                                              Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250807_2300_RC0@sha256:aa1ed41571fa937da61b5bcd7cf842981c7f026b516c18655bc2f3a9362b1fa5" already present on machine and can be accessed by the pod
kube-system          32m         Normal    Started                          pod/gke-metrics-agent-8fjlf                                                              Container started
kube-system          32m         Normal    Started                          pod/parallelstore-csi-node-vrz99                                                         Container started
kube-system          32m         Normal    Pulled                           pod/parallelstore-csi-node-vrz99                                                         Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/csi-node-driver-registrar:v2.9.4-gke.69@sha256:3045a703bd702fd01006ce36868199cc886b106137e59150592922ae972dd221" already present on machine and can be accessed by the pod
gke-gmp-system       32m         Normal    Created                          pod/collector-vqzk4                                                                      Container created
default              32m         Warning   EKBalloonPodIsNotRunning         node/gk3-pmomax-auto-pool-2-46493e36-6j6x                                                gke-system-balloon-pod is not running for more than 20 seconds
kube-system          32m         Normal    SuccessfulCreate                 daemonset/gcsfusecsi-node                                                                Created pod: gcsfusecsi-node-6x2dq
kube-system          32m         Normal    SuccessfulCreate                 daemonset/filestore-node                                                                 Created pod: filestore-node-lg8fd
kube-system          32m         Normal    Created                          pod/gke-metrics-agent-8fjlf                                                              Container created
kube-system          32m         Normal    SuccessfulCreate                 daemonset/fluentbit-gke-big                                                              Created pod: fluentbit-gke-big-9gktk
kube-system          32m         Normal    Created                          pod/parallelstore-csi-node-vrz99                                                         Container created
gke-gmp-system       32m         Normal    Started                          pod/collector-vqzk4                                                                      Container started
kube-system          32m         Normal    SuccessfulCreate                 daemonset/pdcsi-node                                                                     Created pod: pdcsi-node-pwzt7
kube-system          32m         Normal    Pulled                           pod/pdcsi-node-pwzt7                                                                     Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.8@sha256:50ca66e210095128339da35982286123dc4df1a5dc488556b48cbaf5fd2d338e" already present on machine and can be accessed by the pod
kube-system          32m         Normal    Pulled                           pod/filestore-node-lg8fd                                                                 Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251006.02_p0@sha256:b0f2a127fe686df441f0b72b334c7e6942ae7041283846fbdfc1551bcfb35665" already present on machine and can be accessed by the pod
kube-system          32m         Normal    Created                          pod/filestore-node-lg8fd                                                                 Container created
kube-system          32m         Normal    Pulled                           pod/gcsfusecsi-node-6x2dq                                                                Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251006.01_p0@sha256:9042573fdb0db543b09002011fd5231eb1b0799bc345f40bd39454deaef0f7ab" already present on machine and can be accessed by the pod
gke-gmp-system       32m         Normal    Created                          pod/collector-vqzk4                                                                      Container created
gke-gmp-system       32m         Normal    Pulled                           pod/collector-vqzk4                                                                      Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/prometheus-engine/prometheus:v2.53.5-gmp.4-gke.0@sha256:6f349dc0be36c8a61be183254f1126c9935f5332daa96c481f7e0e1b20fe0513" already present on machine and can be accessed by the pod
kube-system          32m         Normal    Created                          pod/pdcsi-node-pwzt7                                                                     Container created
kube-system          32m         Normal    Started                          pod/parallelstore-csi-node-vrz99                                                         Container started
kube-system          32m         Normal    Pulled                           pod/fluentbit-gke-big-9gktk                                                              Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8" already present on machine and can be accessed by the pod
kube-system          32m         Normal    Created                          pod/fluentbit-gke-big-9gktk                                                              Container created
kube-system          32m         Normal    Created                          pod/gcsfusecsi-node-6x2dq                                                                Container created
kube-system          32m         Normal    Started                          pod/gcsfusecsi-node-6x2dq                                                                Container started
kube-system          32m         Normal    Started                          pod/fluentbit-gke-big-9gktk                                                              Container started
kube-system          32m         Normal    Started                          pod/filestore-node-lg8fd                                                                 Container started
kube-system          32m         Normal    Started                          pod/gke-metrics-agent-8fjlf                                                              Container started
kube-system          32m         Normal    ScaleDown                        configmap/cluster-autoscaler-status                                                      Scale-down: node gk3-pmomax-auto-pool-2-46493e36-6j6x removed with drain
kube-system          32m         Normal    Started                          pod/pdcsi-node-pwzt7                                                                     Container started
gke-gmp-system       32m         Normal    Pulled                           pod/collector-vqzk4                                                                      Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/prometheus-engine/config-reloader:v0.18.0-gke.2@sha256:b41862ee7ee3e9f24112ccdb0e53060085af1a8347054a7dbcff04467d3e1e9c" already present on machine and can be accessed by the pod
kube-system          32m         Normal    Pulled                           pod/pdcsi-node-pwzt7                                                                     Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/csi-node-driver-registrar:v2.15.0-gke.24@sha256:44fe83c2ec93127ebef1c81e5b5f371952cfbc38cae80a86c556b7247da0c1fc" already present on machine and can be accessed by the pod
gke-gmp-system       32m         Normal    Started                          pod/collector-vqzk4                                                                      Container started
kube-system          32m         Normal    Created                          pod/pdcsi-node-pwzt7                                                                     Container created
kube-system          31m         Warning   NodeNotReady                     pod/container-watcher-b7sgh                                                              Node is not ready
kube-system          31m         Warning   NodeNotReady                     pod/gke-metrics-agent-8fjlf                                                              Node is not ready
kube-system          31m         Warning   NodeNotReady                     pod/anetd-l-m74r8                                                                        Node is not ready
kube-system          31m         Warning   NodeNotReady                     pod/parallelstore-csi-node-vrz99                                                         Node is not ready
kube-system          31m         Warning   NodeNotReady                     pod/efficiency-daemon-dxp69                                                              Node is not ready
kube-system          31m         Warning   NodeNotReady                     pod/ip-masq-agent-fm2mb                                                                  Node is not ready
kube-system          31m         Warning   NodeNotReady                     pod/netd-rg74m                                                                           Node is not ready
kube-system          31m         Warning   NodeNotReady                     pod/gke-metadata-server-4c6j9                                                            Node is not ready
kube-system          31m         Warning   NodeNotReady                     pod/node-local-dns-7w274                                                                 Node is not ready
default              31m         Normal    NodeNotReady                     node/gk3-pmomax-auto-pool-2-46493e36-6j6x                                                Node gk3-pmomax-auto-pool-2-46493e36-6j6x status is now: NodeNotReady
default              31m         Normal    DeletingNode                     node/gk3-pmomax-auto-pool-2-46493e36-6j6x                                                Deleting node gk3-pmomax-auto-pool-2-46493e36-6j6x because it does not exist in the cloud provider
default              31m         Normal    RemovingNode                     node/gk3-pmomax-auto-pool-2-46493e36-6j6x                                                Node gk3-pmomax-auto-pool-2-46493e36-6j6x event: Removing Node gk3-pmomax-auto-pool-2-46493e36-6j6x from Controller
gke-gmp-system       19m         Normal    DNSRecordProvisioningSucceeded   service/alertmanager                                                                     DNS records updated
kube-system          4m2s        Warning   Unhealthy                        pod/gke-metadata-server-22jzn                                                            Readiness probe failed: Get "http://127.0.0.1:989/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system          3m53s       Normal    UpdateRedirectService            redirectservice/default                                                                  deleted redirect service obj default
kube-system          3m50s       Normal    UpdateRedirectService            redirectservice/default                                                                  deleted redirect service obj default
